clean_city_data,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
225,Tessalit,20.1986,1.0114,311.07,12,69,4.1,ML,1654968944
226,Egvekinot,66.3167,-179.1667,274.2,65,80,1.16,RU,1654968945
227,Ebebiyin,2.1511,11.3353,295.84,84,92,1.21,GQ,1654968945
228,Fairbanks,64.8378,-147.7164,287.64,67,0,1.54,US,1654968946
229,Iqaluit,63.7506,-68.5145,283.0,53,75,6.71,CA,1654968830
230,Saskylakh,71.9167,114.0833,283.78,59,22,4.58,RU,1654968947
231,Isangel,-19.55,169.2667,297.88,87,57,2.04,VU,1654968947
232,Zhezkazgan,47.8043,67.7144,293.94,34,81,3.35,KZ,1654968948
233,Prince Rupert,54.3161,-130.3201,285.2,81,75,10.8,CA,1654968949
234,Kabare,-2.4683,28.8242,289.02,95,22,0.25,CD,1654968949
235,Caravelas,-17.7125,-39.2481,298.12,74,93,3.44,BR,1654968950
236,Arlit,18.7369,7.3853,309.97,16,87,3.41,NE,1654968950
237,Bodden Town,19.2833,-81.25,304.15,62,40,4.12,KY,1654968951
238,Luebo,-5.35,21.4167,297.21,45,0,0.18,CD,1654968952
239,Pa Sang,18.5262,98.9394,299.26,88,82,1.3,TH,1654968952
240,Huilong,31.8111,121.655,295.33,88,64,3.38,CN,1654968953
241,Sechura,-5.5569,-80.8222,296.88,58,76,5.79,PE,1654968953
242,Wasilla,61.5814,-149.4394,288.83,63,100,2.06,US,1654968954
243,Bud,39.447,-86.1758,298.38,71,77,4.03,US,1654968954
244,Mayo,38.8876,-76.5119,294.36,83,100,2.06,US,1654968955
245,Port Blair,11.6667,92.75,300.17,89,40,2.57,IN,1654968955
246,Gdańsk,54.3521,18.6464,294.76,60,0,1.54,PL,1654968902
247,Bengkulu,-3.8004,102.2655,297.04,91,100,3.72,ID,1654968956
248,Alpinópolis,-20.8636,-46.3881,294.65,60,94,2.68,BR,1654968957
249,Ilulissat,69.2167,-51.1,276.16,75,20,4.12,GL,1654968957
250,Dalvik,65.9702,-18.5286,282.11,95,100,2.13,IS,1654968958
251,Young,-32.6833,-57.6333,285.35,31,0,4.55,UY,1654968958
252,Pingzhuang,42.0372,119.2889,291.98,68,100,5.71,CN,1654968959
253,Bom Jesus,-9.0744,-44.3586,306.39,31,99,2.41,BR,1654968960
254,Alice Springs,-23.7,133.8833,282.9,66,100,2.57,AU,1654968960
255,Bilma,18.6853,12.9164,310.92,12,20,1.62,NE,1654968961
256,Panguna,-6.3164,155.4848,292.29,95,25,0.97,PG,1654968962
257,Kogon,39.7228,64.5517,294.17,56,0,4.12,UZ,1654968963
258,Belaya Gora,68.5333,146.4167,286.59,61,14,1.05,RU,1654968963
259,Chicama,-7.8447,-79.1469,288.45,63,65,4.21,PE,1654968964
260,Arman',59.7,150.1667,274.83,97,100,1.39,RU,1654968965
261,Qaqortoq,60.7167,-46.0333,281.49,55,100,1.35,GL,1654968965
262,Barra do Garças,-15.89,-52.2567,299.47,61,75,5.14,BR,1654968966
263,Chimoré,-16.9833,-65.1333,292.5,66,100,1.12,BO,1654968967
264,Leningradskiy,69.3833,178.4167,274.09,74,99,4.74,RU,1654968967
265,Saint-François,46.4154,3.9054,300.84,36,0,2.57,FR,1654968969
266,Hammerfest,70.6634,23.6821,287.4,72,40,4.12,NO,1654968969
267,Ballina,-28.8667,153.5667,282.47,72,10,4.87,AU,1654968970
268,Polunochnoye,60.8697,60.4153,285.3,89,100,1.83,RU,1654968971
269,Shaoyang,27.2315,111.4525,294.21,91,98,1.14,CN,1654968971
270,Andenes,69.3143,16.1194,281.14,93,75,3.6,NO,1654968795
271,Channel-Port aux Basques,47.5702,-59.1367,284.47,89,91,4.5,CA,1654968973
272,Sørland,67.667,12.6934,283.07,93,98,2.12,NO,1654968973
273,Yabrūd,33.9674,36.6574,297.61,24,0,3.64,SY,1654968974
274,Port-Cartier,50.0334,-66.8654,292.97,58,78,5.07,CA,1654968975
275,Buin,-33.7333,-70.75,295.33,23,0,1.48,CL,1654968976
276,Lashio,22.9333,97.75,293.63,98,100,0.51,MM,1654968976
277,Vigrestad,58.5667,5.7,288.13,92,35,7.3,NO,1654968977
278,Youghal,51.95,-7.8506,289.87,68,50,7.71,IE,1654968978
279,Abu Kamal,34.4506,40.9171,305.04,15,0,1.01,SY,1654968980
280,Pisco,-13.7,-76.2167,290.94,94,100,2.57,PE,1654968981
281,Zhangjiakou,40.81,114.8794,288.38,89,100,1.99,CN,1654968981
282,Huambo,-12.7761,15.7392,287.09,41,0,1.66,AO,1654968982
283,Takaka,-40.85,172.8,282.43,88,55,1.9,NZ,1654968983
284,Rock Sound,24.9,-76.2,300.58,74,62,6.02,BS,1654968983
285,Baker City,44.7749,-117.8344,286.81,93,100,2.06,US,1654968984
286,Samarai,-10.6167,150.6667,299.78,80,77,2.77,PG,1654968985
287,Mollendo,-17.0231,-72.0147,292.17,70,17,4.21,PE,1654968986
288,Lensk,60.7253,114.9278,279.8,95,63,1.44,RU,1654968986
289,Klaksvík,62.2266,-6.589,285.66,98,86,3.61,FO,1654968987
290,Hofn,64.2539,-15.2082,283.44,78,100,3.13,IS,1654968988
291,Green River,41.5286,-109.4662,304.81,19,19,3.58,US,1654968988
292,Berlevåg,70.8578,29.0864,287.04,81,100,9.26,NO,1654968989
293,Bria,6.5423,21.9863,294.89,90,78,1.93,CF,1654968989
294,Pemba,-12.974,40.5178,297.34,69,5,7.57,MZ,1654968990
295,Port Augusta,-32.5,137.7667,282.58,89,9,2.2,AU,1654968991
296,Aklavik,68.2191,-135.0107,275.15,93,100,6.69,CA,1654968991
297,Kaa-Khem,51.6833,94.7333,290.4,33,1,2.5,RU,1654968992
298,Mazamari,-11.3258,-74.5308,296.21,56,92,0.62,PE,1654968993
299,São Filipe,14.8961,-24.4956,296.61,82,5,3.22,CV,1654968993
300,Beloha,-25.1667,45.05,293.03,82,4,6.38,MG,1654968994
301,Araouane,18.9048,-3.5265,313.48,6,0,1.81,ML,1654968995
302,Pevek,69.7008,170.3133,276.9,60,79,3.3,RU,1654968995
303,Kaitangata,-46.2817,169.8464,275.72,77,84,3.8,NZ,1654968996
304,Terrell,32.736,-96.2753,311.01,59,0,3.6,US,1654968996
305,Inta,66.0317,60.1659,281.47,73,100,7.96,RU,1654968997
306,Contamana,-7.3333,-75.0167,294.1,88,100,1.47,PE,1654968997
307,Sitka,57.0531,-135.33,282.09,87,100,5.66,US,1654968998
308,Nelson Bay,-32.7167,152.15,283.76,61,0,1.34,AU,1654968999
309,San Andrés,12.5847,-81.7006,298.16,100,100,2.57,CO,1654968999
310,Alexandria,31.2156,29.9553,299.13,69,40,6.69,EG,1654969000
311,Springbok,-29.6643,17.8865,288.32,23,97,2.02,ZA,1654969001
312,Mwanza,-2.5167,32.9,295.62,66,34,2.34,TZ,1654969002
313,Price,39.5994,-110.8107,306.55,11,0,2.06,US,1654969003
314,Korla,41.7597,86.1469,300.56,22,33,6.27,CN,1654969004
315,Tiksi,71.6872,128.8694,276.01,78,87,3.36,RU,1654969005
316,Shīeli,44.1667,66.75,297.68,35,100,0.85,KZ,1654969005
317,Camacha,33.0833,-16.3333,292.83,73,40,6.69,PT,1654969006
318,St. George's,12.0564,-61.7485,303.97,70,20,12.86,GD,1654969006
319,Wyndham,37.6985,-77.6125,300.96,65,87,0.89,US,1654969008
320,Orotina,9.912,-84.5234,303.65,68,89,2.41,CR,1654969009
321,Knysna,-34.0363,23.0471,297.92,22,55,5.21,ZA,1654969010
322,Neiafu,-18.65,-173.9833,297.53,94,75,5.14,TO,1654969011
323,Ilūkste,55.9775,26.2966,290.26,92,13,2.11,LV,1654969011
324,Alofi,-19.0595,-169.9187,296.09,94,39,3.6,NU,1654969012
325,Gornyak,50.9942,81.4661,292.8,66,83,2.4,RU,1654969013
326,Rockingham,42.9668,-71.0995,299.34,53,99,0.45,US,1654969013
327,Fairfield,41.2668,-73.3162,297.77,55,0,2.57,US,1654969014
328,Yeniseysk,58.4497,92.1703,286.85,68,53,2.72,RU,1654969014
329,Vila Franca do Campo,37.7167,-25.4333,293.38,88,100,2.07,PT,1654969015
330,Dunedin,-45.8742,170.5036,280.26,51,98,4.47,NZ,1654969015
331,San Rafael,-34.6177,-68.3301,293.9,14,0,5.55,AR,1654969016
332,Bairiki Village,1.3292,172.9752,300.15,78,20,4.63,KI,1654969017
333,Barra de Tecoanapa,16.5167,-98.75,302.69,68,73,4.61,MX,1654969017
334,Hai’an,32.5436,120.45,292.16,89,89,3.41,CN,1654969018
335,Neryungri,56.6709,124.6491,283.82,86,54,1.37,RU,1654969019
336,Sursk,53.0754,45.6846,287.8,89,39,2.77,RU,1654969019
337,Saint-Joseph,-21.3667,55.6167,293.36,81,44,6.27,RE,1654969020
338,Mitsamiouli,-11.3847,43.2844,299.07,71,20,5.36,KM,1654969020
339,Opuwo,-18.0607,13.84,290.97,35,0,2.53,NA,1654969026
340,Kavaratti,10.5669,72.642,301.64,78,71,7.21,IN,1654969027
341,Hirara,24.8,125.2833,299.31,86,100,2.62,JP,1654969027
342,Ahipara,-35.1667,173.1667,287.96,87,88,7.8,NZ,1654969028
343,Naze,28.3667,129.4833,295.66,88,100,4.15,JP,1654969029
344,Peniche,39.3558,-9.3811,298.75,77,3,8.71,PT,1654968973
345,Rawson,-43.3002,-65.1023,288.59,34,59,4.0,AR,1654969030
346,Corpus Christi,27.8006,-97.3964,308.83,65,20,7.72,US,1654969030
347,West Bay,19.3667,-81.4167,304.19,62,40,4.12,KY,1654969031
348,Sakon Nakhon,17.1612,104.1472,299.27,84,100,1.63,TH,1654969035
349,Nome,64.5011,-165.4064,279.91,52,0,2.57,US,1654969035
350,Liseleje,56.0053,11.9483,293.65,63,3,9.68,DK,1654969036
351,Morón,-34.6534,-58.6198,288.04,36,44,3.6,AR,1654968983
352,Upernavik,72.7868,-56.1549,272.03,79,14,6.06,GL,1654969037
353,Los Llanos de Aridane,28.6585,-17.9182,295.01,86,40,6.69,ES,1654969038
354,Foam Lake,51.65,-103.5343,293.16,51,68,4.78,CA,1654969042
